,Title,Fuel,Price,Image_URL,URL,Year,Kms Covered
47,2021/23 AUDI Q7 55 TFSI PREMIUM PLUS,Petrol,5600000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2023-audi-q3-40-tfsi-premium-plus/,2023,37000.0
48,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,Petrol,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2020-21-mercedes-benz-g350d-2/,2026,5000.0
49,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,Petrol,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2024-mercedes-benz-c-220d/,2026,5000.0
50,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,Petrol,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2023-mercedes-benz-e-200-2/,2026,5000.0
51,2018/20 PORSCHE 718 BOXSTER,Petrol,8100000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2018-porsche-718-boxster-2/,2020,19000.0
52,2024/25 BMW X5 40I M SPORTS,Petrol,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2024-25-bmw-z4-m40i-3/,2025,13000.0
53,2025 RANGE ROVER VELAR DYN HSE,Petrol,8400000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2021-land-rover-defender-2-0-hse-110/,2025,19000.0
54,2018/20 PORSCHE 718 BOXSTER,Petrol,8100000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2024-porsche-cayenne-coupe/,2020,19000.0
55,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,Petrol,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2016-17-mercedes-benz-c300-cabriolet/,2026,5000.0
56,2024/25 BMW X5 40I M SPORTS,Petrol,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2024-25-bmw-x5-40i-m-sports/,2025,13000.0
57,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,Petrol,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2024-25-mercedes-benz-c-200/,2026,5000.0
58,2024/25 BMW X5 40I M SPORTS,Petrol,9000000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2024-bmw-x7-40i-m-sports-2/,2025,13000.0
59,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,Petrol,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2023-mercedes-benz-c200/,2026,5000.0
60,2024/25 LEXUS ES 300H LUXURY,Hybrid,5800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2021-lexus-es-300-h/,2025,14000.0
61,2018 FORD MUSTANG GT 5.0L,Petrol,7800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2016-19-ford-mustang-gt-5-0l/,2018,36000.0
62,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,Petrol,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2023-mercedes-benz-g400-d-2/,2026,5000.0
63,2024/26 MERCEDES BENZ CLE 300 CABRIOLET,Petrol,9800000.0,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0naHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmcnIHZpZXdCb3g9JzAgMCAwIDAnPjwvc3ZnPg==",https://fusioncars.in/cars/2023-mercedes-benz-glc-43-amg/,2026,5000.0
